id;name;description;image_path
1;DHT11;Humidity Temperature Sensor;https://www.dropbox.com/s/4os0mxr5v5aeqa7/dht11.jpg?raw=1
2;FlameSensor;Flame Sensor;https://www.dropbox.com/s/1ekpkyc0kwj9pjh/flame_sensor.jpg?raw=1
